Date,Time,Visitor,G,Home,G,,Att.,LOG
2023-10-30,8:00 PM,Columbus Blue Jackets,3,Dallas Stars,5,,18532,2:22
2023-10-30,7:30 PM,Detroit Red Wings,4,New York Islanders,3,OT,15407,2:35
2023-10-30,7:00 PM,Carolina Hurricanes,3,Philadelphia Flyers,2,,15569,2:27
2023-10-30,7:00 PM,Anaheim Ducks,4,Pittsburgh Penguins,3,,16903,2:34
2023-10-30,7:00 PM,Seattle Kraken,4,Tampa Bay Lightning,3,OT,19092,2:30
2023-10-30,10:00 PM,Montreal Canadiens,2,Vegas Golden Knights,3,SO,17791,2:43
2023-10-30,7:30 PM,New York Rangers,3,Winnipeg Jets,2,OT,11898,2:29
2023-10-31,8:00 PM,Los Angeles Kings,4,Toronto Maple Leafs,1,,18531,2:20
2023-10-31,10:00 PM,Nashville Predators,2,Vancouver Canucks,5,,18413,2:23
2023-11-01,10:00 PM,Arizona Coyotes,3,Anaheim Ducks,4,OT,14894,2:37
2023-11-01,8:30 PM,Dallas Stars,4,Calgary Flames,3,,16786,2:32
2023-11-01,9:30 PM,St. Louis Blues,1,Colorado Avalanche,4,,18091,2:31
2023-11-01,7:00 PM,Buffalo Sabres,5,Philadelphia Flyers,2,,17279,2:30
2023-11-02,10:00 PM,Montreal Canadiens,2,Arizona Coyotes,3,,4600,2:33
2023-11-02,7:30 PM,Toronto Maple Leafs,2,Boston Bruins,3,SO,17850,2:36
2023-11-02,7:00 PM,Tampa Bay Lightning,2,Columbus Blue Jackets,4,,14276,2:32
2023-11-02,7:00 PM,Florida Panthers,2,Detroit Red Wings,0,,17233,2:27
2023-11-02,9:00 PM,Dallas Stars,4,Edmonton Oilers,3,,17290,2:32
2023-11-02,8:00 PM,New Jersey Devils,5,Minnesota Wild,3,,18399,2:24
2023-11-02,7:00 PM,Carolina Hurricanes,1,New York Rangers,2,,18006,2:31
2023-11-02,7:00 PM,Los Angeles Kings,3,Ottawa Senators,2,,16216,2:24
2023-11-02,10:00 PM,Nashville Predators,2,Seattle Kraken,4,,17151,2:24
2023-11-02,10:30 PM,Vancouver Canucks,10,San Jose Sharks,1,,10719,2:32
2023-11-02,10:00 PM,Winnipeg Jets,2,Vegas Golden Knights,5,,17878,2:27
2023-11-02,7:00 PM,New York Islanders,3,Washington Capitals,0,,16209,2:23
2023-11-03,7:00 PM,Philadelphia Flyers,5,Buffalo Sabres,1,,16612,2:12
2023-11-03,8:00 PM,New Jersey Devils,1,St. Louis Blues,4,,18096,2:24
2023-11-04,4:00 PM,Winnipeg Jets,5,Arizona Coyotes,3,,4600,2:19
2023-11-04,8:00 PM,Florida Panthers,2,Chicago Blackhawks,5,,18666,2:22
2023-11-04,7:00 PM,Boston Bruins,4,Detroit Red Wings,5,,18676,2:40
2023-11-04,3:00 PM,Nashville Predators,5,Edmonton Oilers,2,,18354,2:28
2023-11-04,8:00 PM,New York Rangers,4,Minnesota Wild,5,SO,18678,2:38
2023-11-04,7:30 PM,Carolina Hurricanes,4,New York Islanders,3,OT,17255,2:31
2023-11-04,7:00 PM,Tampa Bay Lightning,6,Ottawa Senators,4,,17387,2:36
2023-11-04,7:30 PM,Los Angeles Kings,5,Philadelphia Flyers,0,,18304,2:24
2023-11-04,10:00 PM,Calgary Flames,6,Seattle Kraken,3,,17151,2:19
2023-11-04,10:00 PM,Pittsburgh Penguins,10,San Jose Sharks,2,,17435,2:28
2023-11-04,7:00 PM,Montreal Canadiens,3,St. Louis Blues,6,,18096,2:29
2023-11-04,7:00 PM,Buffalo Sabres,6,Toronto Maple Leafs,4,,18902,2:28
2023-11-04,10:00 PM,Dallas Stars,0,Vancouver Canucks,2,,18895,2:25
2023-11-04,10:00 PM,Colorado Avalanche,0,Vegas Golden Knights,7,,18512,2:40
2023-11-04,7:00 PM,Columbus Blue Jackets,1,Washington Capitals,2,,18573,2:30
2023-11-05,8:00 PM,Vegas Golden Knights,2,Anaheim Ducks,4,,15720,2:22
2023-11-05,7:00 PM,New Jersey Devils,4,Chicago Blackhawks,2,,18388,2:31
2023-11-06,8:00 PM,Boston Bruins,3,Dallas Stars,2,,18532,2:37
2023-11-06,7:00 PM,Columbus Blue Jackets,4,Florida Panthers,5,OT,17103,2:27
2023-11-06,7:00 PM,Tampa Bay Lightning,5,Toronto Maple Leafs,6,OT,18445,2:30
2023-11-06,10:00 PM,Edmonton Oilers,2,Vancouver Canucks,6,,18857,2:44
2023-11-07,10:00 PM,Pittsburgh Penguins,2,Anaheim Ducks,0,,16043,2:32
2023-11-07,9:00 PM,Seattle Kraken,3,Arizona Coyotes,4,SO,4600,2:40
2023-11-07,7:00 PM,Buffalo Sabres,2,Carolina Hurricanes,3,OT,18700,2:25
2023-11-07,9:00 PM,Nashville Predators,2,Calgary Flames,4,,16975,2:29
2023-11-07,10:00 PM,New Jersey Devils,3,Colorado Avalanche,6,,18087,2:38
2023-11-07,7:00 PM,Tampa Bay Lightning,5,Montreal Canadiens,3,,21105,2:32
2023-11-07,7:30 PM,Minnesota Wild,4,New York Islanders,2,,13527,2:30
2023-11-07,7:30 PM,Detroit Red Wings,3,New York Rangers,5,,18006,2:25
2023-11-07,10:30 PM,Philadelphia Flyers,1,San Jose Sharks,2,,10074,2:31
2023-11-07,8:00 PM,Winnipeg Jets,5,St. Louis Blues,2,,18096,2:24
2023-11-08,7:00 PM,Ottawa Senators,6,Toronto Maple Leafs,3,,18372,2:20
2023-11-08,10:00 PM,Los Angeles Kings,4,Vegas Golden Knights,1,,18330,2:27
2023-11-08,7:30 PM,Florida Panthers,4,Washington Capitals,3,OT,16104,2:30
2023-11-09,7:00 PM,New York Islanders,2,Boston Bruins,5,,17850,2:24
2023-11-09,7:30 PM,Dallas Stars,5,Columbus Blue Jackets,2,,15253,2:25
2023-11-09,9:00 PM,Seattle Kraken,4,Colorado Avalanche,3,,18124,2:29
2023-11-09,7:00 PM,Montreal Canadiens,3,Detroit Red Wings,2,OT,18504,2:40
2023-11-09,10:30 PM,Pittsburgh Penguins,4,Los Angeles Kings,3,OT,18145,2:31
2023-11-09,7:00 PM,Minnesota Wild,1,New York Rangers,4,,18006,2:23
2023-11-09,7:00 PM,Vancouver Canucks,5,Ottawa Senators,2,,16653,2:22
2023-11-09,10:30 PM,Edmonton Oilers,2,San Jose Sharks,3,,12206,2:26
2023-11-09,8:00 PM,Arizona Coyotes,1,St. Louis Blues,2,,18096,2:36
2023-11-09,7:00 PM,Chicago Blackhawks,5,Tampa Bay Lightning,3,,19092,2:32
2023-11-09,8:00 PM,Nashville Predators,3,Winnipeg Jets,6,,12199,2:30
2023-11-10,10:00 PM,Philadelphia Flyers,6,Anaheim Ducks,3,,15550,2:32
2023-11-10,7:00 PM,Minnesota Wild,2,Buffalo Sabres,3,,17031,2:26
2023-11-10,7:00 PM,Carolina Hurricanes,2,Florida Panthers,5,,17845,2:33
2023-11-10,7:00 PM,Washington Capitals,4,New Jersey Devils,2,,16514,2:26
2023-11-10,7:00 PM,Calgary Flames,4,Toronto Maple Leafs,5,SO,18939,2:38
2023-11-10,10:00 PM,San Jose Sharks,0,Vegas Golden Knights,5,,18423,2:27
2023-11-11,9:00 PM,St. Louis Blues,8,Colorado Avalanche,2,,18132,2:34
2023-11-11,1:00 PM,Columbus Blue Jackets,4,Detroit Red Wings,5,,19156,2:27
2023-11-11,10:30 PM,Philadelphia Flyers,4,Los Angeles Kings,2,,18145,2:25
2023-11-11,7:00 PM,Boston Bruins,2,Montreal Canadiens,3,OT,21105,2:28
2023-11-11,8:00 PM,Arizona Coyotes,7,Nashville Predators,5,,17303,2:24
2023-11-11,7:30 PM,Washington Capitals,4,New York Islanders,1,,16519,2:20
2023-11-11,7:00 PM,Calgary Flames,1,Ottawa Senators,4,,18874,2:26
2023-11-11,7:30 PM,Buffalo Sabres,0,Pittsburgh Penguins,4,,18429,2:16
2023-11-11,10:00 PM,Edmonton Oilers,4,Seattle Kraken,1,,17151,2:31
2023-11-11,7:00 PM,Carolina Hurricanes,4,Tampa Bay Lightning,0,,19092,2:28
2023-11-11,7:00 PM,Vancouver Canucks,2,Toronto Maple Leafs,5,,19107,2:26
2023-11-11,3:00 PM,Dallas Stars,3,Winnipeg Jets,2,,12420,2:28
2023-11-12,8:00 PM,San Jose Sharks,1,Anaheim Ducks,4,,16471,2:29
2023-11-12,1:00 PM,Chicago Blackhawks,3,Florida Panthers,4,,19359,2:26
2023-11-12,6:00 PM,Dallas Stars,8,Minnesota Wild,3,,18509,2:33
2023-11-12,7:00 PM,Vancouver Canucks,5,Montreal Canadiens,2,,21105,2:19
2023-11-12,7:00 PM,Columbus Blue Jackets,3,New York Rangers,4,SO,18006,2:55
2023-11-13,8:30 PM,New York Islanders,1,Edmonton Oilers,4,,17881,2:40
2023-11-13,10:00 PM,Colorado Avalanche,5,Seattle Kraken,1,,17151,2:37
2023-11-14,7:00 PM,Boston Bruins,5,Buffalo Sabres,2,,14840,2:21
2023-11-14,7:00 PM,Pittsburgh Penguins,5,Columbus Blue Jackets,3,,16596,2:23
2023-11-14,8:00 PM,Arizona Coyotes,3,Dallas Stars,4,OT,18532,2:31
2023-11-14,7:00 PM,Calgary Flames,2,Montreal Canadiens,1,,21105,2:29
2023-11-14,8:00 PM,Anaheim Ducks,3,Nashville Predators,2,,17159,2:30
2023-11-14,10:30 PM,Florida Panthers,5,San Jose Sharks,3,,10108,2:35
2023-11-14,8:00 PM,Tampa Bay Lightning,0,St. Louis Blues,5,,17621,2:25
